Organisation Name,Town/City,County,Type & Rating,Route
Iag Uk & Europe,SWANSEA,Unknown,Temporary Worker (A rating),Charity Worker
Iag Uk & Europe,SWANSEA,Unknown,Worker (A rating),Skilled Worker
Iag Uk & Europe,SWANSEA,Unknown,Worker (A rating),Tier 2 Ministers of Religion
Ideal Uk Ltd,Chelmsford,Essex,Worker (A rating),Skilled Worker
Idee Ltd,London,Unknown,Worker (A rating),Skilled Worker
Ie Services Ltd,Morden,Surrey,Worker (A rating),Skilled Worker
Indian Kitchen Llandudno Ltd T/A Indian Kitchen,Llandudno,Unknown,Worker (A rating),Skilled Worker
Indira' S Tasty Chicken Ltd,Bedford,Unknown,Worker (A rating),Skilled Worker
Infinite Computer Solutions Limited,London,Unknown,Worker (A rating),Skilled Worker
Innovative Accountants (London) Ltd,Weybridge,Unknown,Worker (A rating),Skilled Worker
Inoventive Services Limited,Northampton,Northamptonshire,Worker (A rating),Skilled Worker
Inspirations Leicestershire Ltd,Leicester,Unknown,Worker (A rating),Skilled Worker
Integrated Media Solutions Ltd,"LONDON,",Unknown,Worker (A rating),Skilled Worker
International Federation Of Health Plans,London,London,Worker (A rating),Skilled Worker
International Professional Risks Europe - Uk Branch,London,Unknown,Worker (A rating),Skilled Worker
Intruder Systems Ltd,London,Unknown,Worker (A rating),Skilled Worker
Isn Europe Limited,Huntingdon,Unknown,Worker (A rating),Skilled Worker
Isun- Immigration Support Network Ltd,LONDON,Haringey,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Isun- Immigration Support Network Ltd,LONDON,Haringey,Worker (A rating),Skilled Worker
Iykonic Company Limited,England,Unknown,Worker (A rating),Skilled Worker
J.G. Porter Contractors Ltd,Angus,Unknown,Worker (A rating),Skilled Worker
Janak Properties Limited,Harrow,Unknown,Worker (A rating),Skilled Worker
Jane Plan,London,Uk,Worker (A rating),Skilled Worker
Jasmine Business Solutions Ltd,Milton  Keynes,Unknown,Worker (A rating),Skilled Worker
Jesuits In Britain Cio,London,Unknown,Worker (A rating),Tier 2 Ministers of Religion
Jesuits In Britain Cio,London,Unknown,Worker (A rating),Skilled Worker
Jesuits In Britain Cio,London,Unknown,Temporary Worker (A rating),Religious Worker
Jmd (London) Ltd T/A Fratelli Deli,London,Unknown,Worker (A rating),Skilled Worker
John Bull Convenience Store,MEXBOROUGH,SOUTH YORKSHIRE,Worker (A rating),Skilled Worker
Jollys Coffee Ltd,beaumaris,anglesey,Worker (A rating),Skilled Worker
Jonathan Lu Limited,London,Unknown,Worker (A rating),Skilled Worker
Joy Smile Limited,Dundee,Unknown,Worker (A rating),Skilled Worker
Joys Motors Ltd,Reading,Unknown,Worker (A rating),Skilled Worker
Jpc Care & Support Day Centre,Stokesley,Unknown,Worker (A rating),Skilled Worker
Jrs Building Contractors Limited, London,Unknown,Worker (A rating),Skilled Worker
Jug And Bottle,LONDON,Unknown,Worker (A rating),Skilled Worker
Junior'S Day Nursery,Cranbrook,Kent,Worker (A rating),Skilled Worker
Jure Trans Ltd,Nottingham,Unknown,Worker (A rating),Skilled Worker
Kadder Cleaning Services Limited,Upminster,Unknown,Worker (A rating),Skilled Worker
Kangaroo Kids Nursery Limited,Greenford,United Kingdom,Worker (A rating),Skilled Worker
Kartal Construction Limited,Colchester,Unknown,Worker (A rating),Skilled Worker
Kastoor Limited,Leeds,Unknown,Worker (A rating),Skilled Worker
Kathmandu And Palpa Limited T/A Royal Gurkha,Nottingham,Unknown,Worker (A rating),Skilled Worker
Keep Chaating Ltd,London,Unknown,Worker (A rating),Skilled Worker
Kensington Plaza Hotel Limited,London,Unknown,Worker (A rating),Skilled Worker
Khawaja Halal Poultry (Sole Trader) T/A Khp Poultry,oldbury,Unknown,Worker (A rating),Skilled Worker
Kiaan Stores Ltd,Edinburgh,Unknown,Worker (A rating),Skilled Worker
Kidz Rebound Ltd,Walton-On-Thames,Unknown,Worker (A rating),Skilled Worker
Klg Group Intl Ltd,Lopndon,Unknown,Worker (A rating),Skilled Worker
Klr Solicitors Ltd,KENT,Unknown,Worker (A rating),Skilled Worker
Knorr Bremse Rail Systems (Uk) Ltd.,Melksham,Unknown,Worker (A rating),Skilled Worker
Kqf Distribution Ltd,Leyton,Unknown,Worker (A rating),Skilled Worker
Kreativ Solutions Limited,Leicester,Unknown,Worker (A rating),Skilled Worker
Krobahn Ltd,London,Unknown,Worker (A rating),Skilled Worker
Kroren Ltd T/A Tarim,London,Unknown,Worker (A rating),Skilled Worker
Ks Accountancy Services Ltd,Croydon,Unknown,Worker (A rating),Skilled Worker
Ksp Pharma Ltd T/A New Road Pharmacy,Rickmansworth,Unknown,Worker (A rating),Skilled Worker
Kub Construction Ltd,LUTON,Unknown,Worker (A rating),Skilled Worker
Kumars Mini Mart Private Ltd,Andover,Unknown,Worker (A rating),Skilled Worker
La Salute Ltd,THAME,Unknown,Worker (A rating),Skilled Worker
Lampard Investments Limited,London,Unknown,Worker (A rating),Skilled Worker
Lancereal Limited,Huddersfield,West Yorkshire,Worker (A rating),Skilled Worker
Landart Expert Limited,London,Unknown,Worker (A rating),Skilled Worker
Ld Care Limited,London,Wimbledon,Worker (A rating),Skilled Worker
"Leagues Uk Commercial Co., Ltd",London,Unknown,Worker (A rating),Skilled Worker
Leiths (Scotland) Ltd,Aberdeen,Unknown,Worker (A rating),Skilled Worker
Leojet Group Ltd,London,Unknown,Worker (A rating),Skilled Worker
Lifestyles Services Group Limited,Crewe,Chesire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Lifestyles Services Group Limited,Crewe,Chesire,Worker (A rating),Skilled Worker
Lillibet House Ltd,Bedford,Bedfordshire,Worker (A rating),Skilled Worker
Lime Lounge (High Lane) Limited,Manchester,Unknown,Worker (A rating),Skilled Worker
Living Faith Foursquare Gospel Church,Bedford,Bedforshire,Worker (A rating),Tier 2 Ministers of Religion
Living Faith Foursquare Gospel Church,Bedford,Bedforshire,Temporary Worker (A rating),Religious Worker
Logan Tod & Co,Norwich,Norfolk,Worker (A rating),Skilled Worker
Loibar Education Consultancy Ltd,COVENTRY,WEST MIDLANDS,Worker (A rating),Skilled Worker
London Bc Tourism And Construction Trading Company Ltd,London,Unknown,Worker (A rating),Skilled Worker
London Computer Recycling,London,London,Temporary Worker (A rating),Charity Worker
London Rd Foods Limited,Leicester,Unknown,Worker (A rating),Skilled Worker
Lotus Lounge 2023 Ltd T/A Lotus Lounge,Alfreton,Unknown,Worker (A rating),Skilled Worker
Lp Sd Seventy Six Limited,Wisbech,Unknown,Worker (A rating),Skilled Worker
Lsak Limited,Willenhall,West Midlands,Worker (A rating),Skilled Worker
Lytham St Annes Primary Care Network Limited,Lytham St Annes,Lancashire,Worker (A rating),Skilled Worker
Mac Grocers Ltd,Bathgate,Unknown,Worker (A rating),Skilled Worker
Macduff Ship Design Limited,Aberdeen,Unknown,Worker (A rating),Skilled Worker
Magnolia House Care Home,Axminster,Unknown,Worker (A rating),Skilled Worker
Maharani Indian Restaurant Col Ltd,Colchester,Unknown,Worker (A rating),Skilled Worker
Mahavir Group Ltd,"Newcastle Upon Tyne,",Unknown,Worker (A rating),Skilled Worker
Majlis-E-Ishaatul Quraan,LEICESTER,Unknown,Worker (A rating),Tier 2 Ministers of Religion
Mak Global Consultants Ltd,Ashton-Under-Lyne,Unknown,Worker (A rating),Skilled Worker
Malhotra Care Homes Limited,NEWCASTLE,Unknown,Worker (A rating),Skilled Worker
Mandarin Group Ltd,London,Unknown,Worker (A rating),Skilled Worker
Manoja Maheswaran T/A Perfect Fried Chicken,London,Unknown,Worker (A rating),Skilled Worker
Manor Interior Solutions Limited,Market Harborough,Leicestershire,Worker (A rating),Skilled Worker
Maralb Construction Ltd,"Maidenhead,",Unknown,Worker (A rating),Skilled Worker
Maria Montessori Ltd T/A Maria Montessori Nursery School,London,Unknown,Worker (A rating),Skilled Worker
Marley Health Limited,London,Unknown,Worker (A rating),Skilled Worker
Marriott Harrison Llp,London,London,Worker (A rating),Skilled Worker
Marsh Superstores,LUTON,Unknown,Worker (A rating),Skilled Worker
Marshfield Cricket Club,Chippenham,Unknown,Worker (A rating),International Sportsperson
Masjid-E-Ali (A.S),Luton,Unknown,Temporary Worker (A rating),Charity Worker
Matrix Supported Living Ltd,Nottinghamshire,Nottinghamshire,Worker (A rating),Skilled Worker
Maxg Construction Ltd,London,Unknown,Worker (A rating),Skilled Worker
Maynard Design Consultancy Ltd,London,Unknown,Worker (A rating),Skilled Worker
Mde Machinery Limited,COLLONE,Co Armagh,Worker (A rating),Skilled Worker
Meridian Investment Group Limited T/A Invicta Hotel,Plymouth,Unknown,Worker (A rating),Skilled Worker
Meta Trend Fashion Limited,Salford,Unknown,Worker (A rating),Skilled Worker
Metals Focus Data Limited,London,Unknown,Worker (A rating),Skilled Worker
Mhs Care Limited,Stoke-on-Trent,Staffordshire,Worker (A rating),Skilled Worker
Michael Fahami Ltd,14 Lyon Road,Harrow,Worker (A rating),Skilled Worker
Microtrax Limited,London,Unknown,Worker (A rating),Skilled Worker
Millwood Kane Limited,London,Unknown,Worker (A rating),Skilled Worker
Mingley Camberley Ltd,Camberley,Unknown,Worker (A rating),Skilled Worker
Mini Mart Store,Cardiff,Unknown,Worker (A rating),Skilled Worker
Miranda London Ltd,London,Unknown,Worker (A rating),Skilled Worker
Mitcham Properties Ltd,London,Unknown,Worker (A rating),Skilled Worker
Mithai Ghar Limited,LONDON,Unknown,Worker (A rating),Skilled Worker
Mmm Services,BOLTON,Unknown,Worker (A rating),Skilled Worker
Mobile Care Services Ltd,Atherstone,Warwickshire,Worker (A rating),Skilled Worker
Mobile Tech Centre Limited,Swindon,Unknown,Worker (A rating),Skilled Worker
Montpelier Health,Bristol,Unknown,Worker (A rating),Skilled Worker
Moon Light Transport Limited,Epping,Unknown,Worker (A rating),Skilled Worker
Moonlight (Limavady) Limited,Limavady,Unknown,Worker (A rating),Skilled Worker
Motogirl Ltd,Tonbridge,Kent,Worker (A rating),Skilled Worker
Mr Sarmilan Tharmarajah T/A T S J Super Store,SOMERSET,Unknown,Worker (A rating),Skilled Worker
Mr. Janakkumar Patel & Mrs. Jagrutiben Patel And T/A Kings Road Stores,Herne Bay,Unknown,Worker (A rating),Skilled Worker
Mrs Wordsmith Group Limited,London,Unknown,Worker (A rating),Skilled Worker
Mrs Wordsmith Group Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Multicultural Marketing Consultancy Limited,London,Unknown,Worker (A rating),Skilled Worker
Mymeds Healthcare Ltd,London,Unknown,Worker (A rating),Skilled Worker
Mynt Ltd,London,Unknown,Worker (A rating),Skilled Worker
Na Activity Park Limited,Bradford,Unknown,Worker (A rating),Skilled Worker
Naagaa Ltd,Morden,Unknown,Worker (A rating),Skilled Worker
Naakus Construction & Cleaning Solution Ltd,Nottingham,Unknown,Worker (A rating),Skilled Worker
Namaste Kitchen Restaurant Ltd T/A Namaste Kitchen,Falmouth,Unknown,Worker (A rating),Skilled Worker
Nana'S Cafe Limited,London,Unknown,Worker (A rating),Skilled Worker
National Web Design Ltd,Croydon,Unknown,Worker (A rating),Skilled Worker
Nestex Group Ltd,Surbiton,Unknown,Worker (A rating),Skilled Worker
Net Ministries United Kingdom Limited,Derry,Unknown,Temporary Worker (A rating),Charity Worker
Neurolize Ltd,London,Unknown,Worker (A rating),Skilled Worker
New Concept Security Ltd,Lancashire,Unknown,Worker (A rating),Skilled Worker
New Local,Bracknell,Unknown,Worker (A rating),Skilled Worker
New Wave (International) Limited,Leicester,Unknown,Worker (A rating),Skilled Worker
Nexus Multi Academy Trust,Rotherham,South Yorkshire,Worker (A rating),Skilled Worker
Nexus Node Systems Ltd,Newcastle Upon Tyne,Unknown,Worker (A rating),Skilled Worker
"Nintendo Of Europe Se, Uk Branch",Windsor,Unknown,Worker (A rating),Skilled Worker
"Nintendo Of Europe Se, Uk Branch",Windsor,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Nk Broadwater Mini Market Ltd,Worthing,Unknown,Worker (A rating),Skilled Worker
Not Just Tickets Ltd T/A Plain,London,Unknown,Worker (A rating),Skilled Worker
Notting Hill Spirit Ltd,London,Unknown,Worker (A rating),Skilled Worker
Ns Group Of Industries Ltd,Romford,Unknown,Worker (A rating),Skilled Worker
Nufox Rubber Limited,Manchester,Unknown,Worker (A rating),Skilled Worker
Nugen Consultants Ltd,Uxbridge,Middlesex,Worker (A rating),Skilled Worker
Nustone Patios Ltd,Colchester,Essex,Worker (A rating),Skilled Worker
Oaklands Manor Care Home Ltd T/A Oaklands Manor Nursing Home,Saltburn-by-the-sea,Unknown,Worker (A rating),Skilled Worker
Oas&Co Accounting Ltd,London,Unknown,Worker (A rating),Skilled Worker
Obaseki & Co Ltd,London,Unknown,Worker (A rating),Skilled Worker
Oliver Services Ltd,Willenhall,Unknown,Worker (A rating),Skilled Worker
Ollie Care Alliance Ltd,MANCHESTER,Unknown,Worker (A rating),Skilled Worker
One Group Projects Limited T/A Bloom Cafe,London,Unknown,Worker (A rating),Skilled Worker
Online 24/7 Ltd,Corringham,England,Worker (A rating),Skilled Worker
Open Date Equipment Limited,Mitcham,Surrey,Worker (A rating),Skilled Worker
Oppw Limited,Rugeley,Unknown,Worker (A rating),Skilled Worker
Original Third Eye Restaurant Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Orion Retail Ltd,Glasgow,Unknown,Worker (A rating),Skilled Worker
Oscore Limited,Suffolk,Unknown,Worker (A rating),Skilled Worker
Oxford Immunotec Limited T/A Revvity,Abingdon,OXon,Worker (A rating),Skilled Worker
Oxford Immunotec Limited T/A Revvity,Abingdon,OXon,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Paradice Desserts Limited,Feltham,Unknown,Worker (A rating),Skilled Worker
Parish Of Medstead And Four Marks,Alton,Hampshire,Worker (A rating),Tier 2 Ministers of Religion
Park Place Dental Practice,Cardiff,Unknown,Worker (A rating),Skilled Worker
Pascal Offshore Ltd,Plymouth,Unknown,Worker (A rating),Skilled Worker
Pavi Convenience Uk Ltd,Northumberland,Unknown,Worker (A rating),Skilled Worker
Pembroke Carvery (Pembroke) Limited,Haverfordwest,Pembrokeshire,Worker (A rating),Skilled Worker
Penduline Properties Limited,Cardiff,Unknown,Worker (A rating),Skilled Worker
Perchpeek Ltd,Crawley,Unknown,Worker (A rating),Skilled Worker
Philoxenia Catering Services Ltd,Bromley,Unknown,Worker (A rating),Skilled Worker
Phone Fix Ltd,Aberdeen,Unknown,Worker (A rating),Skilled Worker
Phonefix4U Ltd,Chertsey,Surrey,Worker (A rating),Skilled Worker
Ping Online Communications Ltd,Stirling,Unknown,Worker (A rating),Skilled Worker
Pinnacleesp Ltd,Croydon,Unknown,Worker (A rating),Skilled Worker
Pipeflex Systems Limited,Bedlington,Northumberland,Worker (A rating),Skilled Worker
Piverta Limited,Great Amwell,Hertfordshire,Worker (A rating),Skilled Worker
Pizza Wilmslow Plus Ltd,Wilmslow,Unknown,Worker (A rating),Skilled Worker
Pkl Group (Uk) Limited,Cheltenham,Gloucestershire,Worker (A rating),Skilled Worker
Pkr Anisk Local Shop Limited,Slough,Unknown,Worker (A rating),Skilled Worker
Pntxv Productions Ltd,London,Unknown,Worker (A rating),Skilled Worker
Polestar Waterloo Limited,London,Unknown,Worker (A rating),Skilled Worker
Polish Residential Care Home,Corby,Northamptonshire,Temporary Worker (A rating),Religious Worker
Porini Polo Limited,Liphook,Hants,Worker (A rating),International Sportsperson
Powertech Engineering Services Limited,Manchester,Unknown,Worker (A rating),Skilled Worker
Ppm Projects Limited,Swanley,Unknown,Worker (A rating),Skilled Worker
Pradetta Limited,Harrow,Middlesex,Worker (A rating),Skilled Worker
Pradom Global Limited,Birmingham,Unknown,Worker (A rating),Skilled Worker
Pragmatix Advisory Limited,Chelmsford,Essex,Worker (A rating),Skilled Worker
Preem Limited,London,Unknown,Worker (A rating),Skilled Worker
Prestige Windows & Doors Ltd,Essex,Unknown,Worker (A rating),Skilled Worker
Preston Drove Store Ltd,Brighton,Unknown,Worker (A rating),Skilled Worker
Prestwick Care Limited,NEWCASTLE,Unknown,Worker (A rating),Skilled Worker
Prima Emporium Ltd,Glasgow,Scotland,Worker (A rating),Skilled Worker
Prince Electronics Limited,SOUTHALL,Unknown,Worker (A rating),Skilled Worker
Privilege Supported Care Ltd,Ilford,Unknown,Worker (A rating),Skilled Worker
Privity Legal Ltd,City of London,London,Worker (A rating),Skilled Worker
Prospect Training Services (Gloucester Ltd),Gloucester,Gloucestershire,Worker (A rating),Skilled Worker
Pukka Art Limited,London,Unknown,Worker (A rating),Skilled Worker
Pure White Lines,brooks lane,West Sussex,Worker (A rating),Skilled Worker
Purple Dragon Play Limited,London,Unknown,Worker (A rating),Skilled Worker
Pvd Retail Ltd,Wallington,Unknown,Worker (A rating),Skilled Worker
Pylon Technologies Uk Ltd,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Pylon Technologies Uk Ltd,London,Unknown,Worker (A rating),Skilled Worker
Qing Liang Buddhist Association,London,Unknown,Temporary Worker (A rating),Religious Worker
Quest Builders Ltd,LONDON,Unknown,Worker (A rating),Skilled Worker
Quianto Capital Limited,London,Unknown,Worker (A rating),International Sportsperson
R J Shell Limited,Alnwick,Northumberland,Worker (A rating),Skilled Worker
Racca Green News,Knottingley,Unknown,Worker (A rating),Skilled Worker
Radial Commerce Limited,Oldham,Middleton,Worker (A rating),Skilled Worker
Ralph Plastering Ltd,Surrey,Unknown,Worker (A rating),Skilled Worker
Raspberry Pi Ltd,Cambridge,Unknown,Worker (A rating),Skilled Worker
Rave Stays Ltd,Chorley,Unknown,Worker (A rating),Skilled Worker
React Engineering,Warrington,Cheshire,Worker (A rating),Skilled Worker
Readdle Labs Ltd,London,Unknown,Worker (A rating),Skilled Worker
Red Telecom Ltd T/A Vodafone Ltd,Newark,Unknown,Worker (A rating),Skilled Worker
Redrelic Software Limited,London,Unknown,Worker (A rating),Skilled Worker
Reit Property Limited,LONDON,Unknown,Worker (A rating),Skilled Worker
Relyon Nutec Uk Ltd,Aberdeen,Unknown,Worker (A rating),Skilled Worker
Represent Clothing Limited,Bolton,Unknown,Worker (A rating),Skilled Worker
Reprocell Europe Ltd,Glasgow,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Reprocell Europe Ltd,Glasgow,Unknown,Worker (A rating),Skilled Worker
Restaurant Twenty Two,Cambridge,Unknown,Worker (A rating),Skilled Worker
Revoluton Arts Cio,Luton,Unknown,Worker (A rating),Skilled Worker
Rewinds & J Windsor & Sons (Engineers) Ltd,Liverpool,Merseyside,Worker (A rating),Skilled Worker
Rg8 Facilities Ltd,Birmingham,West Midlands,Worker (A rating),Skilled Worker
Richland Homes Ltd,Herne Bay,England,Worker (A rating),Skilled Worker
Riverside Linen & Laundry Ltd,Bournemouth,Dorset,Worker (A rating),Skilled Worker
Rj Mcleod (Contractors) Limited,Glasgow,Unknown,Worker (A rating),Skilled Worker
Rkb Security Ltd,BIRMINGHAM,Unknown,Worker (A rating),Skilled Worker
Roberts General Store,Gillingham,Kent,Worker (A rating),Skilled Worker
Rowan Pharma Ltd,ESSEX,Unknown,Worker (A rating),Skilled Worker
Royton Civil And Structural Ltd,Oldham,Greater Manchester,Worker (A rating),Skilled Worker
Rsb Restaurant Limited,Preston,Unknown,Worker (A rating),Skilled Worker
Rudgwick Healthcare Limited,Rudgwick,Unknown,Worker (A rating),Skilled Worker
Rwe Generation Uk Plc,Swindon,Wiltshire,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
S & D Supermarket Wolverhampton Ltd T/A S&D Supermarket,WOLVERHAMPTON,Unknown,Worker (A rating),Skilled Worker
S R Win Convenience Store Ltd T/A Premier,Moreton,Wirral,Worker (A rating),Skilled Worker
S&R Care Services Ltd,Crawley,Unknown,Worker (A rating),Skilled Worker
S.K Windows & Doors Ltd, London,Unknown,Worker (A rating),Skilled Worker
S3 Dental Haywards Heath Limited,"Haywards Heath, West Sussex",Unknown,Worker (A rating),Skilled Worker
Sabel Chemist Ltd,HENDON,Unknown,Worker (A rating),Skilled Worker
Sabio Sp Limited,London,Unknown,Worker (A rating),Skilled Worker
Sabio Sp Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Safeguard Pms Ltd,Luton,Unknown,Worker (A rating),Skilled Worker
Saghir & Sons Food Limited,Southampton,Unknown,Worker (A rating),Skilled Worker
Sago Ventures Ltd,"Cardiff, Wales",Unknown,Worker (A rating),Skilled Worker
Sahba Academy Ltd,Manchester,Unknown,Temporary Worker (A rating),Creative Worker
Sai (Wimbledon) Limited,London,Unknown,Worker (A rating),Skilled Worker
Sai Estates Mgmt Limited,Ilford,Unknown,Worker (A rating),Skilled Worker
Sal Cafe Limited,London,Unknown,Worker (A rating),Skilled Worker
Sal Corp Limited,London,Unknown,Worker (A rating),Skilled Worker
Sapporo Trade International Ltd T/A Tariq Halal Meats,LONDON,Unknown,Worker (A rating),Skilled Worker
Sarah Wallpaper & Interiors Ltd,Bradford,Unknown,Worker (A rating),Skilled Worker
Sargun Convenience Stores Limited T/A Londis,Ashford,Unknown,Worker (A rating),Skilled Worker
Sayed Global Ltd,Birmingham,Unknown,Worker (A rating),Skilled Worker
Sb Mrb Ltd,London,Unknown,Worker (A rating),Skilled Worker
Sbs Haulage Limited,Willenhall,West Midlands,Worker (A rating),Skilled Worker
Seachill Uk Limited Trading As Hilton Seafood Uk,Grimsby,Unknown,Worker (A rating),Skilled Worker
Sefp Ltd Trading As Kent Horse Producers,Kent,Unknown,Worker (A rating),Skilled Worker
Sella Supermarket Ltd,Hatfield,Unknown,Worker (A rating),Skilled Worker
Semilattice Ltd,London,Unknown,Worker (A rating),Skilled Worker
Sensa Waste Solutions Ltd,Sheffield,Unknown,Worker (A rating),Skilled Worker
Shanghai Electric Uk Company Limited,London,Unknown,Worker (A rating),Skilled Worker
Shanghai Me Restaurant Limited,London,Unknown,Worker (A rating),Skilled Worker
Shhapal Liimited (Nisa Local),Llanfairfechan,Unknown,Worker (A rating),Skilled Worker
Shivsai Ltd,HAMPSHIRE,Unknown,Worker (A rating),Skilled Worker
Shreeji Supermarket Limited T/A Nisa Local,London,Unknown,Worker (A rating),Skilled Worker
Shreem Retail Ltd,Hull,Unknown,Worker (A rating),Skilled Worker
Shrees Food Limited T/A Elaichi Indian Cuisine,Camberley,Unknown,Worker (A rating),Skilled Worker
Sigma Dental Limmited,Nottingham,Unknown,Worker (A rating),Skilled Worker
Signature Of Thai Ltd,Edinburgh,Unknown,Worker (A rating),Skilled Worker
Silent Night Management Ltd T/A The Gresham Hotel,London,Unknown,Worker (A rating),Skilled Worker
Silsoe Prestige Motors Ltd,Bedford,Unknown,Worker (A rating),Skilled Worker
Sinnathamby Vigneswaran,HANWELL,Unknown,Worker (A rating),Skilled Worker
Sivalis Group Ltd,Steyning,Unknown,Worker (A rating),Skilled Worker
Sixfold Bioscience Limited,West London,Unknown,Worker (A rating),Scale-up
Skab Security Services Ltd,Barking,Greater London,Worker (A rating),Skilled Worker
Skellow Dental Practice,Doncaster,Unknown,Worker (A rating),Skilled Worker
Skh Enterprise Ltd T/A Phone Tech,Totnes,England,Worker (A rating),Skilled Worker
Skilltik Ltd,London,Unknown,Worker (A rating),Skilled Worker
Slow Touch Ltd,Staines,Unknown,Worker (A rating),Skilled Worker
Small World Consulting Ltd,Lancaster,Lancashire,Worker (A rating),Skilled Worker
Smart City Consultancy Ltd,Newport Pagnell,Bucks,Worker (A rating),Skilled Worker
Smart Point Group Uk Limited,Bristol,Somerset,Worker (A rating),Skilled Worker
Smash Cambridge Ltd T/A Smashburger,Camberley,Unknown,Worker (A rating),Skilled Worker
Sofinish Technologies Limited,HOUNSLOW,MIDDLESEX,Worker (A rating),Skilled Worker
Sohal Licensed Grocers Ltd,"Glasgow,",Unknown,Worker (A rating),Skilled Worker
Solo Agency Ltd,London,Unknown,Worker (A rating),Skilled Worker
Sonoran Ltd,Enfield,Unknown,Worker (A rating),Skilled Worker
Space Zero (North) Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Specialised Polymer Engineering Ltd,Southampton,Hampshire,Worker (A rating),Skilled Worker
Specpower Ltd,Kennington,Unknown,Worker (A rating),Skilled Worker
Speed'S Juice Uk Ltd,Southall,Unknown,Worker (A rating),Skilled Worker
Square Eyecare Limited,Southend-on-Sea,Essex,Worker (A rating),Skilled Worker
Square Health Technology Limited,Windsor,Berkshire,Worker (A rating),Skilled Worker
Square One Petroleum Ltd,Bathgate,Scotland,Worker (A rating),Skilled Worker
Sr Refinish Limited,Luton,Unknown,Worker (A rating),Skilled Worker
Sreeguru Foods Ltd,SOUTHAMPTON,Unknown,Worker (A rating),Skilled Worker
Sri Nidhi Bh Limited,Burntisland,Unknown,Worker (A rating),Skilled Worker
Srinikasrii Limited,"Dorchester,","Dorset,",Worker (A rating),Skilled Worker
Srk Capital Heights Ltd T/A The Plough Inn,Taunton,Unknown,Worker (A rating),Skilled Worker
St Johns Surgery,Cambs,Cambs,Worker (A rating),Skilled Worker
Standley Design And Build Ltd,Wimbledon,London,Worker (A rating),Skilled Worker
Star Advertising Sales Limited,Brentford,Unknown,Worker (A rating),Skilled Worker
Starius Incorporation Limited,London,Unknown,Worker (A rating),Skilled Worker
Ste Services Ltd,Ilford,Unknown,Worker (A rating),Skilled Worker
Stella De Arte Limited,London,Unknown,Worker (A rating),Skilled Worker
Stellar Search Ltd,London,Unknown,Worker (A rating),Skilled Worker
Step In Off Licence & News,Leicester,Unknown,Worker (A rating),Skilled Worker
Storage And Fulfilment Services Limited,Burntwood,Unknown,Worker (A rating),Skilled Worker
Storm Xccessories Ltd,Swatragh,Derry,Worker (A rating),Skilled Worker
Stowafric Hair Limited,STOWMARKET,SUFFOLK,Worker (A rating),Skilled Worker
Stream Bay Ltd T/A Shah Indian Cuisine,Burnham-On-Sea,England,Worker (A rating),Skilled Worker
Strickland Ireland Ltd.,Coalisland,Tyrone,Worker (A rating),Skilled Worker
Sudbury Edge Limited T/A Jilani,Sudbury,Suffolk,Worker (A rating),Skilled Worker
Sunbird Catering Ltd,brighton,Unknown,Worker (A rating),Skilled Worker
Supporting Independence Limited,Barnet,Hertfordshire,Worker (A rating),Skilled Worker
Suthaharan Nadesapillai T/A Today'S Express- Inglemire,Hull,Unknown,Worker (A rating),Skilled Worker
Sutharshan Tharmasekaran T/As Morley'S,London,Unknown,Worker (A rating),Skilled Worker
Suvera Ltd,London,Unknown,Worker (A rating),Skilled Worker
Sw Spice Ltd T/A Bombay Blue,Cardiff,Unknown,Worker (A rating),Skilled Worker
Swallows Meadow Court,Solihull,West Midlands,Worker (A rating),Skilled Worker
Sweep London Limited,London,Unknown,Worker (A rating),Skilled Worker
Sweep London Limited,London,Unknown,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
Swift Cars (Wokingham) Limited,Wokingham,Unknown,Worker (A rating),Skilled Worker
Swift Group London Limited,London,Unknown,Worker (A rating),Skilled Worker
Swinton Wine Ltd,Swinton,Manchester,Worker (A rating),Skilled Worker
Sylwia Care Limited,London,Unknown,Worker (A rating),Skilled Worker
Synyega Limited,Warrington,Unknown,Worker (A rating),Skilled Worker
Taal Stores Ltd,Birmingham,West Midlands,Worker (A rating),Skilled Worker
Tag Aviation (Uk) Limited,Farnborough,Hampshire,Worker (A rating),Skilled Worker
Take 1 Script Services Limited,Cranbrook,Kent,Worker (A rating),Skilled Worker
Takhar Construction Ltd,Slough,Unknown,Worker (A rating),Skilled Worker
Tamang Tree Services Ltd,Widermere,Cumbria,Worker (A rating),Skilled Worker
Tamu Bros Ltd,Lydney,Gloucestshire,Worker (A rating),Skilled Worker
